Alletar;explotació;NOM;Genere;Pare;Mare;Quadra;COD;Nº Serie;DOB;Estado;part;GenereT;EstadoT
no;Guadalajara;Elena;F;Pablo;Marta;Martienz de andres;5585;es124148134598;18/02/2012;OK;;;
no;Guadalajara;Afri;F;Pere;Maria Luisa;Pereira;5665;es794133;15/06/1977;OK;;;
no;Guadalajara;Lola;F;Gonzalo;Africa;Ruiz pereira;5745;es213498243785298;14/06/2008;OK;;;
;Madrid;Nico;M;Javi;Esther;Dorado;5825;es12341351;23/01/1981;OK;;;
no;Madrid;Clara;F;Alfonso;Emma;Martinez;5905;es463573457;28/07/1981;OK;;;
;Madrid;Nico;M;Javi;Esther;Dorado;5985;es12341351;23/01/1981;OK;;;
no;Madrid;Clara;F;Alfonso;Emma;Martinez;6065;es463573457;28/07/1981;OK;;;
;Guadalajara;paBLIS;M;aLFON;ELMA;MARTINES;6145;ES35838294;12/10/2025;OK;;;
no;asdafasf;asdasd;F;asd;asd;asd;6225;ES35838220;;OK;;;
;Madrid;Nico;M;Javi;Esther;Dorado;6305;es12341351;23/01/1981;OK;;;
no;Madrid;Clara;F;Alfonso;Emma;Martinez;6385;es463573457;28/07/1981;OK;;;
no;asdasf;fdsdf;F;asdad;asdasd;asdasd;6465;12312314124;;OK;;;
no;asdasd;asfasdf;F;asd;asd;asdfafaf;6545;asdafasf;;OK;;;
;Madrid;Nico;M;Javi;Esther;Dorado;6625;es12341351;23/01/1981;OK;;;
no;Madrid;Clara;F;Alfonso;Emma;Martinez;6705;es463573457;28/07/1981;OK;;;
;Madrid;Nico;M;Javi;Esther;Dorado;6785;es12341351;23/01/1981;OK;;;
no;Madrid;Clara;F;Alfonso;Emma;Martinez;6865;es463573457;28/07/1981;OK;;;
